src,part,pvs,Frame,vqm,bitrate,resWidth,resHeight,GroupCount,mean_Blockiness,mean_SA,mean_Blockloss,mean_Blur,mean_TA,mean_Exposure,mean_Contrast,mean_Brightness,mean_Noise
ntia_FoxBird2e,1,0,0,0,0,0,0,50,0.9976068,40.9399776,0.0985703999999999,3.79312,20.0525848,125.8,33.9376514,0.4907656,0.875644
ntia_FoxBird2e,2,0,0,0,0,0,0,50,0.99474,47.8736466,0.0842848,3.75906,13.3089802,129.32,36.334363,0.5075324,0.48341
ntia_FoxBird2e,3,0,0,0,0,0,0,50,1.0023382,40.6566006,0.2957142,3.74388,11.5637374,130.28,34.815565,0.5154038,0.554662
ntia_FoxBird2e,4,0,0,0,0,0,0,50,1.0039044,46.700108,0.3671432,3.556,5.6075688,136.6,36.8816008,0.5422088,0.5689
ntia_FoxBird2e,5,0,0,0,0,0,0,50,1.0017236,50.447843,0.2728574,3.88012,10.001363,132.98,35.3502418,0.5202304,0.775538
ntia_FoxBird2e,6,0,0,0,0,0,0,50,1.0027196,47.336618,0.286428,3.87828,26.0759686,132.06,29.6038242,0.5178248,0.60153
ntia_FoxBird2e,7,0,0,0,0,0,0,50,1.0124712,42.3790638,0.7957146,4.08148,23.7666416,135.1,31.156012,0.5330374,0.461206
ntia_HalftimeWide,1,0,0,0,0,0,0,50,0.7986512,97.7906698,0.138571,3.86974,8.8912624,127.34,26.708239,0.513163,1.350968
ntia_HalftimeWide,2,0,0,0,0,0,0,50,0.792179,99.6805948,0.0985712,3.83438,6.3679076,124.92,26.5168304,0.5041576,1.372084
ntia_HalftimeWide,3,0,0,0,0,0,0,50,0.7918142,98.745337,0.1449996,3.8921,8.3620402,121.42,26.4661054,0.490425,1.364012
ntia_HalftimeWide,4,0,0,0,0,0,0,50,0.8059514,97.7996882,0.072857,3.87916,8.4261784,123.2,26.581415,0.4949536,1.350058
ntia_HalftimeWide,5,0,0,0,0,0,0,50,0.8075366,98.544273,0.0414274,3.84956,5.892493,121.74,26.7466782,0.52039,1.345382
ntia_HalftimeWide,6,0,0,0,0,0,0,50,0.8063514,98.4612484,0.033571,3.85242,5.3735002,121.7,26.7350306,0.5073234,1.356924
ntia_HalftimeWide,7,0,0,0,0,0,0,50,0.8078606,98.157707,0.0664268,3.87252,5.245763,123.42,26.7281592,0.5237568,1.35667
ntia_HalftimeWide,8,0,0,0,0,0,0,50,0.8063288,98.3109366,0.1171422,3.87992,5.776067,126.18,26.7551788,0.5183384,1.35418
ntia_HalftimeWide,9,0,0,0,0,0,0,50,0.8029844,98.2533408,0.047142,3.9056,6.8914058,123.18,26.8386854,0.500064,1.350462
ntia_Highway,1,0,0,0,0,0,0,50,0.9037872,60.420404,0.9350004,4.22316,5.569939,131.52,42.6102112,0.5171484,1.121202
ntia_Highway,2,0,0,0,0,0,0,50,0.9039042,59.617609,1.7192852,4.39716,6.532817,127.92,40.3704432,0.5035734,1.1017
ntia_Highway,3,0,0,0,0,0,0,50,0.9026884,58.9220976,3.6028572,5.0657,7.6286474,113.58,31.8497488,0.4544516,1.02909
ntia_Highway,4,0,0,0,0,0,0,50,0.9038046,59.1205632,4.0464284,5.08476,7.2477472,112.92,32.0045726,0.4496508,1.023628
ntia_Highway,5,0,0,0,0,0,0,50,0.9052266,54.1371196,3.7735708,4.83858,18.8078076,123.66,36.6823284,0.4907166,1.089246
ntia_Highway,6,0,0,0,0,0,0,50,0.8998436,49.3217134,4.4114288,4.50706,21.8460652,123.34,34.11314,0.4882976,1.113316
ntia_Highway,7,0,0,0,0,0,0,50,0.9003332,53.7282112,1.9071436,5.25582,8.4794196,131.52,32.4306762,0.5182164,1.084604
ntia_Highway,8,0,0,0,0,0,0,50,0.9000588,52.4390044,1.4621426,5.5837,9.5635572,132.08,32.1171616,0.521329,1.059504
ntia_Highway,9,0,0,0,0,0,0,50,0.9013504,57.4957528,1.405,5.2258,9.0300742,132.08,32.5410726,0.5214496,1.069564
ntia_JumpRope,1,0,0,0,0,0,0,50,0.8538324,103.1221332,2.5507146,4.37996,11.0757086,141.18,47.2832816,0.553307,1.247822
ntia_JumpRope,2,0,0,0,0,0,0,50,0.8535956,103.0525702,2.7142852,4.39998,13.442639,140.76,47.628754,0.5521068,1.261254
ntia_JumpRope,3,0,0,0,0,0,0,50,0.852904,102.93458,2.3457136,4.48726,13.0121798,140.5,47.6224238,0.5510602,1.265562
ntia_JumpRope,4,0,0,0,0,0,0,50,0.8527736,103.2011812,2.6692858,4.41684,13.9983348,140.32,47.751105,0.5507698,1.267232
ntia_JumpRope,5,0,0,0,0,0,0,50,0.8491962,82.2745218,2.0807144,4.14794,11.8391554,127.74,41.7325264,0.5021218,1.374924
ntia_JumpRope,6,0,0,0,0,0,0,50,0.8435472,16.7022308,0.1835714,3.18892,8.1471182,88.14,23.6291586,0.348056,1.759764
ntia_JumpRope,7,0,0,0,0,0,0,50,0.8454262,16.9320182,0.1557142,3.20212,7.7805526,88.68,24.536238,0.3502422,1.75302
ntia_JumpRope,8,0,0,0,0,0,0,50,0.8470038,17.4622102,0.1678568,3.19088,8.5365482,88.5,24.2655086,0.3496366,1.762602
ntia_JumpRope,9,0,0,0,0,0,0,50,0.845415,16.6393772,0.2371432,3.10998,8.268503,92.46,23.5674942,0.3685912,1.764552
ntia_MrFins3e,1,0,0,0,0,0,0,50,1.0148154,55.0476764,0.423571,2.8431,7.751418,94.42,44.1675532,0.378092,0.227914
